-able	可;易
uselessly	狗扯羊皮
user	B站;亲和力;人机界面;使用者;全拼;另存;哔哩哔哩;图像用户介面;图形用户界面;图形界面;封禁;开架;推友;烟民;用家;用户;用户名;用户界面;登记用户;简拼;终端用户;网友;网民;试客
user-defined	自定义
user-friendly	人性化;便民
user-generated	用户创造内容
username	用户名;账号
users	低龄化;刷单;实名制;拉新;日活用户;标题党;陌陌
uses	中中;中体西用;佛跳墙;君子动口不动手;多用;抽动;相士;福彩;老鼠仓;英中;菟;路霸
usgs	美国地质局;美国地质调查局
usher	传达员;引导员;招待员;接引;激浊扬清;迎来;送旧迎新
ushering	招财进宝
using	义译;九归;五马分尸;人工吹气;代步;以子之矛，攻子之盾;以少胜多;以弱胜强;借刀杀人;借此;借花献佛;做好做歹;停用;兼施;冷兵器;凉拌;切音;创客;卜卦;参校;双拼;反切;合成代谢;同化作用;启用;命理;和;啖;善用;喊话;回采;垫补;声训;大小便;奋勇;套印;套色;就地取材;就着;峰火台;工尺谱;弃用;强买强卖;强辩;彖;形译;扒饭;打卦;打字;抬秤;按图索骥;挤花;捋;捏;探伤;搭铁;杠头;杯酒释兵权;桔槔;梿;椮;步韵;武统;比心;毽子;氢能源;氧割;注音;洋腔洋调;洗石子;浇;涂去;热兵器;烽燧;焗油;照猫画虎;煺;爆炒;爆破;珠算;球台;用;用间;电传;电刑;画法几何;画饼充饥;界画;目视;直呼其名;砻;硫化;秘制;竹篮打水;竹篮打水，一场空;策马;筹算;红客;纸火锅;细菌武器;美容;老鼠仓;胸推;臀推;英雄无用武之地;茶水;草船借箭;蜡染;训读;记作;走弯路;起重;车裂;过路费;近水楼台;连麦;通假;通假字;邪修;酥油花;释名;重联;针砭;铡;镩;阶级成分;音意合译;颠球;飞线充电;鱿钓;黻;鼓风
ussr	三个世界;伊斯曼;公式化;勃列日涅夫;苏维埃社会主义共和国联盟;苏联;镰刀斧头
ussuri	三江平原;乌苏里江;大乌苏里岛;抚远三角洲;黑瞎子岛
ussuriisk	乌苏里斯克;双城子;大乌苏里岛;抚远三角洲;黑瞎子岛
usu	下体;不约而同;习气;二婚;二致;人影;他;俘虏;偏激;偏食;先头;全跏坐;其二;冶容;办公;十指不沾阳春水;半跏坐;卖命;卷尺;双拼;发糕;呵;善罢甘休;喔;地步;坎坷多舛;墙;多舛;大不了;天府之国;天禄;好料;好气;姨母笑;完事大吉;害人不浅;对付;屁;很是;御姐;思议;惯养;意识;感染率;扒拉;承重;抬秤;捍卫者;捞油水;探监;握有;攻防;断;时隔;曦;枢;武统;毒化;流沙;海葬;淀;渝;滑竿;滑跪;点痣;牢不可破;瓦蓝;甚巨;用;省油的灯;碍事;碗粿;穿小鞋;窃取;笔者;答理;粉拳;精妙;糅合;纤度;约谈;置买;耐操;肷;背影杀手;背杀;脉案;腰杆;膘;良心发现;茶楼;落忍;薄命;行径;见义勇为;讳言;试想;质押;起眼;辙;运作;遭;避讳;里肌;重地;野炊;阁;阿诺;难为;难缠;频发;高低;𩠌
usual	一如往常;习惯;习用;例行;例行公事;判若两人;双料;吃错药;向例;如常;如故;定例;客串;寻常;异形;往例;往常;恒;惯例;惯常;惯有;故伎;格外;照例;照发;照常;照样;老地方;读破;通常
usually	一反往常;一鼻孔出气;万万;不管白猫黑猫，捉住老鼠就是好猫;不锈铁;不顾大局;且休;世界屋脊;乙;了;二人世界;五帝;伊人;作下;保驾;八宝饭;再;冷眼旁观;冷若冰霜;净土;剁椒;劳燕分飞;半百;卤化银;取决;古体诗;可乘之机;周休二日;哭鼻子;唐扬;啻;喝道;噙;回潮;坊;坎肩;复数域;外泄;大关;大牌档;大碍;套近乎;妖姬;娃娃生;尊容;小白脸;少块肉;屏条;左氏春秋;常情;常时;平常;平日;平素;幽会;弹词;影响;往往;情窦初开;惯家;手足口病;才怪;才气;打档车;拉帕斯;招财猫;摇橹;撕票;教书匠;整齐划一;旗号;无支祁;无独有偶;春秋左氏传;普通高等学校招生全国统一考试;有理数域;本期;条条框框;松阪猪;标兵;歼击;水煎包;汤圆;沁入;洋腔洋调;济事;海棠形;消受;滋长;潜规则;照例;照理;爱港;爱漂亮;率;白酒;短视;神怪;积习;粽叶;素;素常;素日;置信;老拙;老生;老腊肉;老虎菜;肉蒲团;肌体;英雄所见略同;落花有意，流水无情;诀别;试问;调卷;谘;贞操;越境;辅佐;过房;过继;通常;造就;阕;雄猫;青团;韭菜盒子;顿悟;风头;风韵;飞檐走壁;飞线;驻锡;魑魅;鸿喜菇;黄酒;黑板报;齐书;𫍽
usurer	大耳窿
usurious	高利
usurp	僣;僭越;擅;攘窃;欺世盗名;窃据;窃权;篡;篡党;篡军;篡夺;篡政;篡权;篡窃;霸
usurped	王莽;董卓
usurper	僭主;僭主政治;篡贼
usurping	貂蝉
usurps	牝鸡司晨
usury	印子;印子钱;盘剥;高利贷
usvi	夏洛特阿马利亚;美属维尔京群岛
ut-tsut	郁卒
utah	洪博培;犹他;犹他州;盐湖城
utc	协调世界时
utensil	具;匴;器;器具;器物;工具;探子;支子;桄;楛;爪儿;用具;盛;竹器;篰;网杓;铲子;锠;鼻儿;𬭎
utensils	什器;只;器皿;家什;欀;殉葬;灶具;炊具;疏水箪瓢;筅;锅碗瓢盆
uterine	崩漏
uterus	卵黄囊;子宫;子宫壁;子宫肌瘤;子宫颈;宫缩;宫颈;滋养层;着床;胞宫
utilitarianism	功利主义;实利主义
utility	休旅车;公共事业;功利;工频;市电;抵用;效用;用;线杆;美工刀;走字
utilize	利用;动用
utmost	下死劲;不遗余力;仁至义尽;倾力;关怀备至;切齿腐心;到家;可劲;吃奶的气力;各尽所能;坏;坏了;备至;尽;尽人事;尽力而为;尽心尽力;尽心竭力;戬;拼命;拼死拼活;无所不至;极;竭力;竭尽全力;竭心;精心;臻;证奴;重中之重;鞠躬尽瘁;鞠躬尽瘁，死而后已
utopia	乌托邦;桃花源;理想国
utopian	空中楼阁;空想社会主义
utrecht	乌德勒支;乌特列支
uttar	北方邦
utter	兵荒马乱;吭;吭声;吭气;吱声;吴市吹箫;唱喏;尽忠;悲鸣;放屁;涂炭;胯下之辱;钳马衔枚
utterance	发言;言谈;话语
utterances	狂言
uttered	歇后语
utterly	一无所有;一钱不值;万恶;不堪;丢到家;丧尽天良;五马分尸;众叛亲离;刻鹄类鹜;十分;大无畏;杯水车薪;气急败坏;溃不成军;溃败;烂;爱不释手;破败不堪;稀;穷极;空无所有;绝顶;落花流水;蒙头转向;败绩;贼死;赤诚;赤诚相待;迥然不同
uveitis	月盲症
uvula	小舌;悬雍垂
uxin	乌审;乌审旗;乌讷楚
uyghur	乌鲁木齐市;伊犁哈萨克自治州;克孜勒苏柯尔克孜自治州;克拉玛依市;博尔塔拉蒙古自治州;古丽;吐鲁番市;和田地区;哈密市;喀什地区;塔城地区;孜然;巴音郭楞蒙古自治州;新疆生产建设兵团;新疆维吾尔自治区;昌吉回族自治州;热比亚;热比亚·卡德尔;热比娅;热比娅·卡德尔;皮牙子;维;维吾尔;维吾尔族;维族;阿不来提·阿不都热西提;阿克苏地区;阿勒泰地区
uyghurs	回纥;回鹘;木卡姆
uzbek	乌兹别克;乌兹别克人;乌兹别克族;乌孜别克;乌孜别克族;乌孜别克语;乌语
uzbekistan	乌;乌兹别克;乌兹别克斯坦;乌尔根奇;塔什干;布哈拉;捷尔梅兹;撒马尔干;撒马尔罕;费尔干纳;费尔干纳盆地;铁尔梅兹;阿姆河
uzi	乌兹冲锋枪
uzziah	乌西亚;乌齐雅;约坦
v-belt	三角带
v-fib	室颤;心室颤动
v-neck	鸡心领
v-shape	人字形;八字形
v-shaped	槽钢;锥子脸
va	佧佤族;华侨报;双江拉祜族佤族布朗族傣族自治县;孟连傣族拉祜族佤族自治县;沧源佤族自治县;耿马傣族佤族自治县;西盟佤族自治县;阿佤
vacancies	满员;递补
vacancy	候缺;候补;填空;客满;空缺;空额;缺位;缺额;补;补满;补缺;补足;遗缺;顶补
vacant	出缺;暂缺;楞子眼;空;空余;空地;空房间;空空;空闲;缺;缺位;虚位以待
vacantly	忽忽;直眉瞪眼;茫然
vacate	搬出去;腾;蹲坑;钉子户
vacation	一个;亲子游;休假;假;假期;宅度假;寒假;带薪;度假;度假村;打工;批假;换房旅游;收假;放假;放暑假;暑假;暑期;消夏;渡假;留校;被旅游;避署;长假
vaccaria	王不留行
vaccinate	种花
vaccinated	接种
vaccinations	剂次
vaccine	九价;减毒活疫苗;剂次;加强针;加德西;卡介苗;施打;流感疫苗;灭活疫苗;狂犬疫苗;疫苗;痘苗;登革疫苗;菌苗;追加剂
vaccinium	乌饭果;越橘
vacillate	游移
vacuole	液泡;液胞
vacuous	吟风弄月;空名;空洞;空空;空空如也
vacuum	三极管;内胆;卡西米尔效应;吸地;吸尘器;吸尘机;扫地机器人;拔罐;拔罐法;政权真空;散束;暖壶;栅极;热水瓶;瓶胆;电子管;真空;真空泵;真空管;空空荡荡;零点能
vaduz	瓦杜兹;瓦都兹
vagabond	流浪者;游民;穷光蛋;行旅
vagabunda	棕腹树鹊
vagina	内射;实女;指检;石女;缩阴;膣;蜜穴;阴穴;阴道;阴道炎;飞机杯
vaginal	崩症;淫水;玉门;血崩;见红;阴道炎
vaginata	荁
vagrant	无业游民;流浪;流浪者;浪人;游民;迷鸟;飘忽不定
vague	含含糊糊;含混;含糊;恍然;暧昧;模糊;浅淡;浑茫;浮泛;渺茫;疏阔;眼花;空泛;笼统;糊里糊涂;缊;若即若离;隐晦;隐约;隐约其辞;马马虎虎
vaguely	依稀;口袋罪;恍惚;支吾;绕弯子;绕弯子儿;绕腾;芴;草率收兵;草草收兵;隐隐约约
vagus	迷走神经
vaillant	越南刺鳑鲏
vain	一场空;不枉;冤钱;唐;妄图;妄想;干;干等;徒;徒然;无效;枉;枉劳;枉然;枉费;爱慕虚荣;狂想;白;白白;白饶;空;空头;空空;老大徒伤悲;臭美;虚
vainly	妄想;早知今日何必当初
vairocana	大日如来
vaisravana	多闻天
vajra	四大天王;金刚;金刚杵
vajradhara	金刚总持
vajrapani	金刚手菩萨
vajrasattva	金刚萨埵
vajrayana	密宗
vakhsh	瓦赫基尔河
val	缬氨酸
vala	维拉
vale	犍陀罗
valence	价;价键;化合价;效价;配价
valencia	巴伦西亚
valency	价层;价电子;效价;配价
valenki	毡靴
valentini	比氏鹟莺
valerian	缬草
valeriana	缬草
valet	代客泊车
valgus	拇囊炎;拇外翻;拇趾外翻;脚孤拐
valiant	健将;僩;悍;悍勇;撊;枭;气昂昂;熊罴;猛将;英勇;英姿飒爽;英烈;虎将;貔貅;飒;飒爽;骁;骁将
valiantly	赳赳;雄赳赳
valid	作准;作数;慈悲为本;无效;有效;算;算数
validate	验证
validity	时效;有效性;有效期;真实性;质疑
valine	缬氨酸
valise	提包
valisineria	帆背潜鸭
valium	地西泮;安定
valkyrie	女武神;瓦尔基里
valletta	瓦勒他;瓦莱塔
valley	东非大地堑;东非大裂谷;九寨沟;九寨沟风景名胜区;低谷;关塞;双龙大裂谷;吴楚;地堑;大峡谷;契丹;山凹;山峡;山沟;山沟沟;山谷;山谷市;岩壑;峪;崖壑;崖谷;嶰;幽谷;怛罗斯之战;摩亨佐·达罗;斯瓦特谷地;河谷;流域;涧壑;涧流;涧溪;深谷;深邃;渊壑;渊谷;溪壑;溪谷;瀵;牝;矽谷;硅谷;秦岭;秦岭山脉;空谷足音;裂谷;裂谷热;谷;谷地;谷底;豅;贝卡谷地;费尔干纳;费尔干纳盆地;跑马地;近打;铃兰;非洲大裂谷;高岸深谷
valleys	丘壑;山壑;林壑
valor	余勇可贾;武勇;血气
valorization	价值增殖
valorous	孔武;招贤纳士;武勇
valuable	一言千金;不吝珠玉;值钱;名贵;器重;宝剑;宝贵;弥足珍贵;押送;敬悉;有价值;树上开花;欃;焚琴煮鹤;献宝;珍;珍品;珍藏;瑰宝;白银书;砂积矿床;积淀;网罗;聚宝盆;至宝;调包;走宝;金贵;难能可贵;鼎力相助
valuables	出货;卷逃;如数家珍;枕头箱;橐中装;细软;财;财宝;身价;运钞车;镖局;露白
valuate	计价
valuation	估价;估值;计价;鉴价
value	CP值;MV;三浦梅园;三观;不值一笑;不值钱;不怕不识货，只怕货比货;不怕不识货，就怕货比货;中值定理;交换价值;产业链;产值;人命关天;人矿;介值定理;价;价值;价值工程;价值观;价值量;估产;估价;估定;余;使用价值;保值;值;公允价值;净值;净现值;减计;切音;划算;剩余价值;加值型网路;升值;反切;名义价值;含金量;商品价值;啡;圈钱;均值;增值;增加值;声旁字;备抵;奈;字音;宝贵;实数;实用价值;客单价;对等;导出值;尊重;尙;尚;峰值;嶋;币值;市值;平均值;平均值定理;征名责实;总值;总热值;总额;情绪价值;手心手背都是肉;打折扣;抵用;捡漏;掉;效价;敝帚千金;敝帚自珍;数值;明珠;暴跌;最小值;有效数字;期望值;杂物;极大值;树上开花;正值;残值;涨价;潜力股;热值;热量;照单全收;爱才;物以稀为贵;物超所值;现值;珍;珍惜;珍重;生产总值;畑;看重;票面值;稀罕;空值;等价;等值;约合;经济增加值;绝对值;药用价值;荻;被套;讲义气;证明力;调准;负值;负号;财产价值;货值;资产价值;赋值;超值;趋近;跌幅;身价;辅币;进栈;重义轻利;重利;重利轻义;重文轻武;重男轻女;重色轻友;重视;重量轻质;鉴定;钱物;银票;长物;阻值;面值;音;音值;音译;音读;顾惜;预设;额定值;食之无味，弃之可惜;高看;鸡肋
value-added	增值;增值税
valued	一字千金;为上;估价;牺牲;贵;远来的和尚会念经;雅意;雅言
values	不等价交换;中体西用;主旋律;价值;价值标准;价值观;卫道;实值;实数值;崩坏;弦歌;思政;无符号;正向;级距;董仲舒;较差
valve	三尖瓣;二尖瓣;二级头呼吸器;半月瓣;单瓣;吸入阀;安全阀;底阀;开关;心瓣;气门;水门;汽阀;泄洪闸;活瓣;活门;球阀;瓣;瓣膜;电子管;真空管;筒阀;管座;罨;节流;角阀;调门;门;闸阀;阀;阀芯;阀门;顶阀
vampire	僵尸;吸血乌贼;吸血鬼
vampyroteuthis	吸血乌贼
van	凡得瓦力;凡高;加值型网路;厢型车;厢式车;大唐狄公案;守车;小型货车;曼妥思;梵克雅宝;梵谷;梵高;狄仁杰;狄公案;箱型车;篷车;范德华力;范德格拉夫;范德格拉夫起电机;范德瓦耳斯;范德瓦耳斯力;范氏起电机;贝多芬;货车;邮车;面包车;驾驶人;高罗佩
vanadic	五氧化二钒
vanadium	五氧化二钒;钒;𫔍
vancouver	温哥华;温哥华岛
vanda	万代兰;胡姬花
vandalize	打砸;毁坏
vane	叶片;定风针;风向标;风标
vanellus	凤头麦鸡;灰头麦鸡;肉垂麦鸡;距翅麦鸡;黄颊麦鸡
vanessa-mae	陈美
vanguard	先头;先锋;先锋队;前卫;前锋;华润万家;急先锋;航空母舰战斗群;锋;锋芒
vanilla	香子兰;香草;香草兰;香草精
vanilla-like	蓠
vanish	不知所终;不知所踪;不翼而飞;云消雾散;人间蒸发;冰释;化为乌有;妙手空空;幻灭;收敛;无踪;没影;泯;泯没;消退;灰飞烟灭;烟消云散;石投大海;绝;绝迹;荡然无存;蒸发;遁形;金蝉脱壳;销声匿迹;隐没;隐灭;隐退
vanished	人琴俱亡;往事如风;荡然;鱼沉雁杳
vanishing	雪花膏
vanity	名利场;四大皆空;洗手台;空幻;虚荣;虚荣心
vanke	万科
vanness	吴建豪
vanquish	征服;降伏;降龙伏虎
vanquished	死而不僵
vantage	俯瞰;制高点
vanuatu	万那杜;瓦努阿图;维拉港
vape	烟弹;电子烟
vapid	无趣
vapor	歊;氛;水气;水汽;水蒸气;汽;浸淫;瀣;瀵;烟雾;缕;蒸气;蒸腾;蜃;追龙;雾气
vaporize	挥发;气化;汽化
vaporizer	威卜;汽化器
vaporware	雾件
vapour	烟
vapours	瑞气
var	A菜;乌塌菜;佛手;佛手柑;卷心菜;咸丰草;朝天椒;朴;椰菜花;爱玉子;球芽甘蓝;白萝卜;百金花;糯米;紫菜薹;芥蓝;莴笋;酸枣;雪里蕻;高丽菜
varangian	瓦良格人;留里克
varanidae	巨蜥
varanus	科莫多龙;草原巨蜥
varia	杂录
variabilis	栓皮栎;灰鹀
variable	与时消息;东方斑䳭;元;参差不齐;变元;变数;变星;变量;变阻器;可变;因变数;因变量;复变;复变函数;复变函数论;实变;实变函数;实变函数论;应变数;无常;易变;有别;消元;烟豆;自变数;自变量;蒭藁增二;解析函数;造父变星;随机变数
variable-speed	变速
variables	实分析;鞍点
variance	心口不一;方差
