一	GGLL,GGL,G
狎	QTLH,QTL
狍	QTQN
狒	QTXJ,QTX
咎	THKF,THK
炙	QOU,QO
枭	QYNS
饯	QNGT
饴	QNCK,QNC
冽	UGQJ,UGQ
冼	UTFQ,UTF
庖	YQNV,YQN
疠	UDNV,UDN
疝	UMK
疡	UNRE,UNR
兖	UCQB,UCQ
妾	UVF
劾	YNTL
炜	OFNH,OFN
𬉼	OAQY,OAQ
炖	OGBN
炘	ORH
炝	OWBN,OWB
炔	ONWY,ONW
泔	IAFG,IAF
沭	ISYY
泷	IDXN,IDX
泸	IHNT,IHN
泱	IMDY
泅	ILWY,ILW
泗	ILG
泠	IWYC
泺	IQIY,IQI
泖	IQTB,IQT
泫	IYXY,IYX
泮	IUFH,IUF
沱	IPXN,IPX
泯	INAN,INA
泓	IXCY,IXC
泾	ICAG,ICA
怙	NDG
怵	NSYY,NSY,NS
怦	NGUH,NGU
怛	NJGG,NJG
怏	NMDY
怍	NTHF,NTH
㤘	NQVG,NQV
怩	NNXN,NNX
怫	NXJH,NXJ
怿	NCFH
宕	PDF
穹	PWXB,PWX
宓	PNTR
诓	YAGG
诔	YDIY
诖	YFFG
诘	YFKG,YFK
戾	YNDI,YND
诙	YDOY,YDO
戽	YNUF,YNU
郓	PLBH,PLB
衩	PUCY,PUC
祆	PYGD
祎	PYFH
祉	PYHG,PYH
祇	PYQA
诛	YRIY,YRI
诜	YTFQ
诟	YRGK,YRG
诠	YWGG,YWG
诣	YXJG,YXJ
诤	YQVH
诧	YPTA
诨	YPLH,YPL
诩	YNG
戕	NHDA
孢	BQNN,BQN
亟	BKCG,BKC
陔	BYNW,BYN
妲	VJGG,VJG
妯	VMG,VM
姗	VMMG,VMM
帑	VCMH,VCM
弩	VCXB,VCX
孥	VCBF
驽	VCCF,VCC
虱	NTJI,NTJ
迦	LKPD,LKP
迨	CKPD,CKP
绀	XAFG,XAF
绁	XANN
绂	XDCY,XDC
驷	CLG
驸	CWFY,CWF
绉	XQVG,XQV
绌	XBMH,XBM
驿	CCFH,CCF
骀	CCKG,CCK
甾	VLF
珏	GGYY,GGY
珐	GFCY,GFC
珂	GSKG,GSK
珑	GDXN,GDX
玳	GWAY,GWA
珀	GRG
顸	FDMY
珉	GNAN,GNA
珈	GLKG,GLK
拮	RFKG,RFK
垭	FGOG,FGO
挝	RFPY,RFP
垣	FGJG
挞	RDPY,RDP
垤	FGCF,FGC
赳	FHNH
贲	FAMU,FAM
垱	FIVG
垌	FMGK,FMG
郝	FOBH,FOB
垧	FTMK,FTM
垓	FYNW
挦	RVFY
垠	FVEY,FVE
茜	ASF
荚	AGUW
荑	AGXW,AGX
贳	ANMU,ANM
荜	AXXF
莒	AKKF
茼	AMGK,AMG
茴	ALKF,ALK
茱	ARIU,ARI
莛	ATFP
荞	ATDJ
茯	AWDU,AWD
荏	AWTF
荇	ATFH
荃	AWGF
荟	AWFC
荀	AQJF,AQJ
茗	AQKF,AQK
荠	AYJJ
茭	AUQU
茨	AUQW
垩	GOGF
荥	APIU,API
荦	APRH,APR
荨	AVFU,AVF
荩	ANYU
剋	DQJK
荪	ABIU
茹	AVKF,AVK
荬	ANUD
荮	AXFU,AXF
柰	SFIU,SFI
栉	SABH,SAB
柯	SSKG,SSK
柘	SDG
栊	SDXN,SDX
柩	SAQY
枰	SGUH,SGU
栌	SHNT
柙	SLH
枵	SKGN,SKG
柚	SMG
枳	SKWY,SKW
柞	STHF,STH
柝	SRYY
栀	SRGB
柢	SQAY,SQA
栎	SQIY,SQI
枸	SQKG,SQK
柈	SUFH
柁	SPXN,SPX
枷	SLKG,SLK
柽	SCFG
剌	GKIJ
酊	SGSH,SGS
郦	GMYB
甭	GIEJ,GIE
砗	DLH
砘	DGBN,DGB
砒	DXXN,DXX
斫	DRH
砭	DTPY,DTP
砜	DMQY
奎	DFFF
耷	DBF
虺	GQJI
殂	GQEG,GQE
殇	GQTR
殄	GQWE
殆	GQCK,GQC
轱	LDG
轲	LSKG,LSK
轳	LHNT
轶	LRWY,LRW
轸	LWET,LWE
虿	DNJU
毖	XXNT
觇	HKMQ,HKM
尜	IDIU,IDI
哐	KAGG,KAG
眄	HGHN,HGH
眍	HAQY,HAQ
𠳐	KDTB,KDT
郢	KGBH
眇	HITT,HIT
眊	HTFN
眈	HPQN,HPQ
禺	JMHY
哂	KSG
咴	KDOY,KDO
曷	JQWN
昴	JQTB,JQT
昱	JUF
昵	JNXN,JNX
咦	KGXW,KGX
哓	KATQ,KAT
哔	KXXF
畎	LDY
毗	LXXN,LXX
呲	KHXN
胄	MEF
畋	LTY
畈	LRCY,LRC
虼	JTNN,JTN
虻	JYNN,JYN
盅	KHLF,KHL
咣	KIQN,KIQ
哕	KMQY,KMQ
剐	KMWJ
郧	KMBH,KMB
咻	KWSY,KWS
囿	LDED,LDE
咿	KWVT
哌	KREY,KRE
哙	KWFC
哚	KMSY,KMS
咯	KTKG,KTK
咩	KUDH,KUD
咤	KPTA
哝	KPEY,KPE
哏	KVEY,KVE
哞	KCRH,KCR
峙	MFFY,MFF
峣	MATQ
罘	LGIU,LGI
帧	MHHM
峒	MMGK
峤	MTDJ
峋	MQJG
峥	MQVH,MQV
贶	MKQN,MKQ
钚	QGIY
钛	QDYY,QDY
钡	QMY
钣	QRCY,QRC
钤	QWYN
钨	QQNG,QQN
钫	QYN
钯	QCN
氡	RNTU
氟	RNXJ,RNX
牯	TRDG
郜	TFKB
秕	TXXN,TXX
秭	TTNT
竽	TGFJ,TGF
笈	TEYU
笃	TCF
俦	WDTF
俨	WGOD,WGO
俅	WFIY
俪	WGMY,WGM
叟	VHCU,VHC,VH
垡	WAFF
牮	WARH,WAR
俣	WKGD,WKG
俚	WJFG,WJF
皈	RRCY,RRC
俑	WCEH,WCE
俟	WCTD,WCT
逅	RGKP
徇	TQJG,TQJ
徉	TUDH,TUD
舢	TEMH
俞	WGEJ
郗	QDMB
俎	WWEG
郤	WWKB
爰	EFTC,EFT
郛	EBBH,EBB
瓴	WYCN
胨	EAIY,EAI
胪	EHNT
胛	ELH
胂	EJHH
胙	ETHF,ETH
胍	ERCY,ERC
胗	EWET,EWE
胝	EQAY,EQA
朐	EQKG,EQK
胫	ECAG,ECA
鸨	XFQG,XFQ
匍	QGEY,QGE
狨	QTAD
狯	QTWC
飑	MQQN
狩	QTPF
狲	QTBI
訇	QYD
逄	TAHP,TAH
昝	THJF,THJ
饷	QNTK
饸	QNWK
饹	QNTK
胤	TXEN
孪	YOBF,YOB
娈	YOVF,YOV
弈	YOAJ,YOA
奕	YODU,YOD
庥	YWSI,YWS
疬	UDLV,UDL
疣	UDNV
疥	UWJK,UWJ
疭	UWWI
庠	YUDK
竑	UDCY
彦	UTER
飒	UMQY
闼	UDPI,UDP
闾	UKKD
闿	UMNV
阂	UYNW,UYN
羑	UGQY
迸	UAPK,UAP
籼	OMH
酋	USGF
炳	OGMW,OGM
炻	ODG
炽	OKWY,OKW,OK
炯	OMKG,OMK
烀	OTUH,OTU
炷	OYGG,OYG
烃	OCAG,OCA,OC
洱	IBG
洹	IGJG,IGJ
洧	IDEG,IDE
洌	IGQJ,IGQ
浃	IGUW,IGU
洇	ILDY
洄	ILKG,ILK
洙	IRIY,IRI
涎	ITHP
洎	ITHG
洫	ITLG
浍	IWFC
洮	IIQN,IIQ
洵	IQJG,IQJ
浒	IYTF
浔	IVFY
浕	INYU
洳	IVKG,IVK
恸	NFCL
恓	NSG
恹	NDDY
恫	NMGK,NMG
恺	NMNN,NMN
恻	NMJH,NMJ
恂	NQJG,NQJ
恪	NTKG
恽	NPLH,NPL
宥	PDEF
扃	YNMK
衲	PUMW
衽	PUTF
衿	PUWN
袂	PUNW,PUN
祛	PYFC
祜	PYDG
祓	PYDC
祚	PYTF,PYT
诮	YIEG,YIE
祗	PYQY
祢	PYQI,PYQ
诰	YTFK
诳	YQTG,YQT
鸩	PQQG,PQQ
昶	YNIJ
郡	VTKB
咫	NYKW,NYK
弭	XBG
牁	NHDK
胥	NHEF,NHE
陛	BXXF,BXX,BX
陟	BHIT,BHI
娅	VGOG,VGO
姮	VGJG
娆	VATQ,VAT
姝	VRIY,VRI,VR
姣	VUQY,VUQ
姘	VUAH,VUA
姹	VPTA,VPT
怼	CFNU,CFN
羿	NAJ
炱	CKOU,CKO
矜	CBTN
绔	XDFN,XDF
骁	CATQ
骅	CWXF,CWX
绗	XTFH,XTF
绛	XTAH
骈	CUAH,CUA,CU
耖	DIIT
挈	DHVR
珥	GBG
珙	GAWY,GAW
顼	GDMY,GDM
珰	GIVG
珩	GTFH,GTF
珧	GIQN,GIQ
珣	GQJG
珞	GTKG,GTK
琤	GQVH
珲	GPLH,GPL
敖	GQTY
恚	FFNU
埔	FGEY
埕	FKGG,FKG
埘	FJFY
埙	FKMY
埚	FKMW,FKM
挹	RKCN,RKC
耆	FTXJ
耄	FTXN
埒	FEFY,FEF
捋	REFY
贽	RVYM
垸	FPFQ,FPF
捃	RVTK,RVT
盍	FCLF
荸	AFPB
莆	AGEY,AGE
莳	AJFU
莴	AKMW,AKM
莪	ATRT,ATR
莠	ATEB,ATE
莓	ATXU,ATX
莜	AWHT,AWH
莅	AWUF
荼	AWTU,AWT
莩	AEBF
荽	AEVF,AEV
莸	AQTN
荻	AQTO
莘	AUJ
莎	AIIT
莞	APFQ
莨	AYVE,AYV
鸪	DQYG
莼	AXGN,AXG
栲	SFTN
栳	SFTX
郴	SSBH,SSB
桓	SGJG,SGJ
桡	SATQ,SAT
桎	SGCF
桢	SHMY,SHM
桤	SMNN
梃	STFP
栝	STDG
桕	SVG
桁	STFH,STF
桧	SWFC,SWF
桅	SQDB,SQD
栟	SUAH
桉	SPVG,SPV
栩	SNG
逑	FIYP
逋	GEHP
彧	AKGE,GKGY
鬲	GKMH
豇	GKUA
酐	SGFH
逦	GMYP
厝	DAJD,DAJ
孬	GIVB,GIV
砝	DFCY
砹	DAQY
砺	DDDN
砧	DHKG
砷	DJHH,DJH
砟	DTHF,DTH
砼	DWAG,DWA
砥	DQAY
砣	DPXN,DPX
剞	DSKJ
砻	DXDF,DXD
轼	LAAG,LAA,LA
轾	LGCF,LGC
辂	LTKG,LTK
鸫	AIQG,AIQ
趸	DNKH,DNK
龀	HWBX,HWB
鸬	HNQG,HNQ
虔	HAYI,HAY
逍	IEPD,IEP
眬	HDXN
唛	KGTY,KGT
晟	JDNT,JDN
眩	HYXY,HYX,HY
眙	HCKG,HCK
哧	KFOY,KFO
哽	KGJQ,KGJ
唔	KGKG
晁	JIQB,JIQ
晏	JPVF,JPV
鸮	KGNG
趵	KHQY
趿	KHEY
畛	LWET,LWE
蚨	JFWY,JFW
蚜	JAHT,JAH
蚍	JXXN
蚋	JMWY,JMW
蚬	JMQN,JMQ
蚝	JTFN,JTF
蚧	JWJH,JWJ
唢	KIMY,KIM
圄	LGKD
唣	KRAN,KRA
唏	KQDH,KQD
盎	MDLF,MDL
唑	KWWF,KWW
崂	MAPL,MAP
崃	MGOY,MGO
罡	LGHF,LGH
罟	LDF
峪	MWWK
觊	MNMQ
赅	MYNW,MYN
钰	QGYY
钲	QGHG
钴	QDG
钵	QSGG,QSG
钹	QDCY
钺	QANT
钽	QJGG,QJG
钼	QHG
钿	QLG
铀	QMG
铂	QRG
铄	QQIY,QQI
铆	QQTB,QQT
铈	QYMH
铉	QYXY,QYX
铊	QPXN,QPX
铋	QNTT,QNT
铌	QNXN,QNX
铍	QHCY,QHC
䥽	QNTY
铎	QCFH,QCF
氩	RNGG
氤	RNLD,RNL
氦	RNYW,RNY
毪	TFNH
舐	TDQA
秣	TGSY,TGS
秫	TSYY,TSY
盉	TLF
笄	TGAJ
笕	TMQB
笊	TRHY
笏	TQRR,TQR
笆	TCB
俸	WDWH
倩	WGEG
俵	WGEY
偌	WADK,WAD
俳	WDJD
俶	WHIC
倬	WHJH
倏	WHTD
恁	WTFN
倭	WTVG,WTV
倪	WVQN,WVQ
俾	WRTF,WRT
倜	WMFK,WMF
隼	WYFJ,WYF
隽	WYEB
倌	WPNN,WPN
倥	WPWA,WPW
臬	THSU,THS
皋	RDFJ
郫	RTFB
倨	WNDG,WND
衄	TLNF
颀	RDMY,RDM
徕	TGOY,TGO
舫	TEYN
釜	WQFU,WQF
奚	EXDU,EXD
衾	WYNE
胯	EDFN,EDF
胱	EIQN,EIQ
胴	EMGK,EMG
胭	ELDY,ELD
脍	EWFC,EWF
胼	EUAH,EUA
朕	EUDY
脒	EOY
胺	EPVG,EPV
鸱	QAYG
玺	QIGY,QIG
鸲	QKQG
狷	QTKE
猁	QTTJ,QTT
狳	QTWT
猃	QTWI
狺	QTYG
逖	QTOP
桀	QAHS
袅	QYNE
饽	QNFB
凇	USWC,USW
栾	YOSU,YOS
挛	YORJ,YOR
亳	YPTA,YPT
疳	UAFD,UAF
疴	USKD
疸	UJGD,UJG
疽	UEGD,UEG
痈	UEK
疱	UQNV,UQN
痂	ULKD
痉	UCAD,UCA
衮	UCEU
凋	UMFK,UMF
颃	YMDM
恣	UQWN,UQW
旆	YTGH,YTG
旄	YTTN
旃	YTMY
阃	ULSI,ULS
阄	UQJN,UQJ
訚	UYD
阆	UYVE,UYV
恙	UGNU,UGN
粑	OCN
朔	UBTE
郸	UJFB
烜	OGJG
烨	OWXF,OWX
烩	OWFC,OWF
烊	OUDH,OUD
剡	OOJH,OOJ
郯	OOBH,OOB
烬	ONYU,ONY
涑	IGKI
浯	IGKG
涞	IGOY,IGO
涟	ILPY,ILP
娑	IITV
涅	IJFG
涠	ILFH,ILF
浞	IKHY
涓	IKEG,IKE
浥	IKCN
涔	IMWN,IMW
浜	IRGW
浠	IQDH
浣	IPFQ
浚	ICWT
悚	NGKI
悭	NJCF,NJC
悝	NJFG
悒	NKCN,NKC
悌	NUXT,NUX
悛	NCWT,NCW
宸	PDFE
窈	PWXL
剜	PQBJ
诹	YBCY,YBC
冢	PEYU,PEY
诼	YEYY,YEY
袒	PUJG
袢	PUUF,PUU
祯	PYHM
诿	YTVG,YTV
谀	YVWY
谂	YWYN
谄	YQVG,YQV
谇	YYWF,YYW
屐	NTFC
屙	NBSK,NBS
陬	BBCY,BBC
勐	BLLN,BLL
奘	NHDD
牂	NHDD
蚩	BHGJ
陲	BTGF
姬	VAHH,VAH
娠	VDFE,VDF
娌	VJFG
娉	VMGN
娲	VKMW,VKM
娩	VQKQ,VQK
娴	VUSY,VUS
娣	VUXT,VUX
娓	VNTN
婀	VBSK,VBS
畚	CDLF,CDL
逡	CWTP,CWT
绠	XGJQ,XGJ
骊	CGMY,CGM,CG
绡	XIEG,XIE
骋	CMGN,CMG
绥	XEVG,XEV
绦	XTSY,XTS
绨	XUXT
骎	CVPC
邕	VKCB,VKC
鸶	XXGG
彗	DHDV
耜	DINN,DIN
焘	DTFO
舂	DWVF,DWV
琏	GLPY,GLP
琇	GTEN
麸	GQFW
揶	RBBH,RBB
埴	FFHG
埯	FDJN,FDJ
捯	RGCJ
掳	RHAL,RHA
掴	RLGY
埸	FJQR,FJQ
埵	FTGF
赧	FOBC
埤	FRTF,FRT
捭	RRTF,RRT
逵	FWFP
埝	FWYN
堋	FEEG,FEE
堍	FQKY,FQK
掬	RQOY,RQO
鸷	RVYG
掖	RYWY,RYW
捽	RYWF
掊	RUKG,RUK
堉	FYCE
掸	RUJF
捩	RYND
掮	RYNE
悫	FPMN
埭	FVIY,FVI
埽	FVPH,FVP
掇	RCCC,RCC
掼	RXFM,RXF
聃	BMFG
菁	AGEF
萁	AADW
菘	ASWC,ASW
堇	AKGF
萘	ADFI
萋	AGVV,AGV
菽	AHIC,AHI
菖	AJJF
萜	AMHK,AMH
萸	AVWU,AVW
萑	AWYF
棻	AWVS
菔	AEBC
菟	AQKY,AQK
萏	AQVF
萃	AYWF,AYW
菏	AISK,AIS
菹	AIEG,AIE
菪	APDF,APD
菅	APNN
菀	APQB
萦	APXI,APX
菰	ABRY,ABR
菡	ABIB
梵	SSMY,SSM
梿	SLPY
梏	STFK
觋	AWWQ
桴	SEBG,SEB
桷	SQEH,SQE
梓	SUH
棁	SUKQ
桫	SIIT,SII
棂	SVOY,SVO
啬	FULK
郾	AJVB,AJV
匮	AKHM,AKH
敕	GKIT
豉	GKUC
鄄	SFBH,SFB
酞	SGDY
酚	SGWV,SGW
戛	DHAR,DHA
硎	DGAJ
硭	DAYN,DAY
硒	DSG
硖	DGUW
硗	DATQ,DAT
硐	DMGK,DMG
硇	DTLQ,DTL
硌	DTKG,DTK
鸸	DMJG
瓠	DFNY,DFN
匏	DFNN
厩	DVCQ,DVC
龚	DXAW,DXA
殒	GQKM,GQK
殓	GQWI,GQW
殍	GQEB
赉	GOMU,GOM
雩	FFNB
辄	LBNN,LBN
堑	LRFF,LRF
眭	HFFG,HFF
眦	HHXN,HHX
啧	KGMY,KGM
晡	JGEY
晤	JGKG,JGK
眺	HIQN,HIQ
眵	HQQY,HQQ
眸	HCRH,HCR
圊	LGED
喏	KADK
喵	KALG,KAL
啉	KSSY,KSS
勖	JHLN,JHL
晞	JQDH
唵	KDJN
晗	JWYK
冕	JQKQ,JQK
啭	KLFY
畦	LFFG,LFF
趺	KHFW,KHF
啮	KHWB
跄	KHWB,KHW
蚶	JAFG,JAF
蛄	JDG
蛎	JDDN,JDD
蛆	JEGG
蚰	JMG
蛊	JLF
圉	LFUF,LFU
蚱	JTHF,JTH
蛉	JWYC
蛏	JCFG
蚴	JXLN,JXL
啁	KMFK,KMF
啕	KQRM
唿	KQRN
啐	KYWF,KYW
唼	KUVG,KUV
唷	KYCE,KYC
啖	KOOY,KOO
啵	KIHC,KIH
啶	KPGH
啷	KYVB,KYV
唳	KYND
唰	KNMJ,KNM
啜	KCCC
帻	MHGM
崚	MFWT
崦	MDJN,MDJ
帼	MHLY,MHL
崮	MLDF,MLD
崤	MQDE
崆	MPWA,MPW
赇	MFIY,MFI
赈	MDFE
赊	MWFI,MWF
铑	QFTX
铒	QBG
铗	QGUW
铙	QATQ,QAT
铟	QLDY
铠	QMNN,QMN
铡	QMJH,QMJ
铢	QRIY,QRI
铣	QTFQ
铤	QTFP
铧	QWXF,QWX
铨	QWGG,QWG
铩	QQSY,QQS
铪	QWGK
铫	QIQN,QIQ
铬	QTKG,QTK
铮	QQVH,QQV
铯	QQCN
铰	QUQY,QUQ
铱	QYEY,QYE
铳	QYCQ,QYC
铵	QPVG,QPV
铷	QVKG,QVK
氪	RNDQ
牾	TRGK
鸹	TDQG,TDQ
秾	TPEY
逶	TVPD,TVP
笺	TGR
筇	TABJ,TAB
笸	TAKF
笪	TJGF,TJG
笮	TTHF,TTH
笠	TUF
笥	TNGK,TNG
笤	TVKF,TVK
笳	TLKF
笾	TLPU,TLP
笞	TCKF,TCK
偾	WFAM,WFA
偃	WAJV
偕	WXXR
偈	WJQN,WJQ
傀	WRQC,WRQ
偬	WQRN
偻	WOVG,WOV
皑	RMNN
皎	RUQY,RUQ
鸻	TFHG
徜	TIMK,TIM
舸	TESK,TES
舻	TEHN,TEH
舴	TETF
舷	TEYX
龛	WGKX
翎	WYCN,WYC
脬	EEBG,EEB
脘	EPFQ,EPF
脲	ENIY,ENI
匐	QGKL,QGK
猗	QTDK
猡	QTLQ
猞	QTWK
猝	QTYF
斛	QEUF,QEU
猕	QTXI
馗	VUTH
馃	QNJS
馄	QNJX
鸾	YOQG,YOQ
孰	YBVY
庹	YANY
庾	YVWI
痔	UFFI
痍	UGXW
疵	UHXV,UHX
翊	UNG
旌	YTTG
旎	YTNX
袤	YCBE
阇	UFTJ
阈	UAKG,UAK
阉	UDJN
阊	UJJD
阋	UVQV,UVQ
阍	UQAJ,UQA
阏	UYWU,UYW
羟	UDCA
粝	ODDN,ODD
粕	ORG
敝	UMIT,UMI
焐	OGKG,OGK
烯	OQDH,OQD
焓	OWYK,OWY
烽	OTDH,OTD,OT
焖	OUNY,OUN
烷	OPFQ,OPF
焗	ONNK
渍	IGMY,IGM
渚	IFTJ,IFT
淇	IADW
淅	ISRH,ISR
淞	ISWC
渎	IFND
涿	IEYY,IEY
淖	IHJH,IHJ
挲	IITR
淠	ILGJ
涸	ILDG,ILD
渑	IKJN,IKJ
淦	IQG
淝	IECN,IEC
淬	IYWF
涪	IUKG,IUK
淙	IPFI
涫	IPNN,IPN
渌	IVIY,IVI
淄	IVLG,IVL
惬	NAGW,NAG
悻	NFUF
悱	NDJD
惝	NIMK,NIM
惘	NMUN,NMU
悸	NTBG,NTB
惆	NMFK,NMF
惚	NQRN,NQR
惇	NYBG
惮	NUJF,NUJ
窕	PWIQ,PWI
谌	YADN
谏	YGLI,YGL
扈	YNKC
皲	PLHC,PLH
谑	YHAG,YHA
裆	PUIV
袷	PUWK,PUW
裉	PUVE
谒	YJQN,YJQ
谔	YKKN
谕	YWGJ
谖	YEFC,YEF
谗	YQKU,YQK
谙	YUJG,YUJ
谛	YUPH
谝	YYNA
逯	VIPI,VIP
郿	NHBH
隈	BLGE
粜	BMOU,BMO
隍	BRGG,BRG
隗	BRQC,BRQ
婧	VGEG,VGE
婊	VGEY
婕	VGVH,VGV
娼	VJJG,VJJ
婢	VRTF,VRT
婵	VUJF,VUJ
胬	VCMW
袈	LKYE,LKY
翌	NUF
恿	CENU,CEN
欸	CTDW
绫	XFWT,XFW
骐	CADW
绮	XDSK,XDS
绯	XDJD
绱	XIMK,XIM
骒	CJSY,CJS,CJ
绲	XJXX,XJX
骓	CWYG,CWY
绶	XEPC,XEP
绺	XTHK,XTH
绻	XUDB
绾	XPNN,XPN
骖	CCDE,CCD
缁	XVLG,XVL
耠	DIWK,DIW
琫	GDWH
琵	GGXX,GGX
琶	GGCB,GGC
琪	GADW,GAD
瑛	GAMD,GAM
琦	GDSK,GDS
琥	GHAM,GHA
琨	GJXX,GJX
靓	GEMQ,GEM
琰	GOOY,GOO
琮	GPFI,GPF,GP
琯	GPNN
琬	GPQB,GPQ
琛	GPWS,GPW
琚	GNDG,GND
辇	FWFL
鼋	FQKN
揳	RDHD
堞	FANS,FAN
搽	RAWS
揸	RSJG,RSJ
揠	RAJV
堙	FSFG,FSF
趄	FHEG,FHE
揖	RKBG,RKB
颉	FKDM,FKD
塄	FLYN,FLY
揿	RQQW,RQQ
耋	FTXF
揄	RWGJ
蛩	AMYJ
蛰	RVYJ
塆	FYOX
摒	RNUA
揆	RWGD
掾	RXEY,RXE
聒	BTDG,BTD
葑	AFFF,AFF
葚	AADN,AAD
靰	AFGQ
靸	AFEY
葳	ADGT,ADG
葺	AKBF,AKB
葸	ALNU
萼	AKKN
葆	AWKS,AWK
葩	ARCB,ARC
葶	AYPS,AYP
蒌	AOVF,AOV,AO
萱	APGG
戟	FJAT,FJA
葭	ANHC
楮	SFTJ
棼	SSWV,SSW
椟	SFND,SFN
棹	SHJH,SHJ
椤	SLQY,SLQ
棰	STGF,STG
赍	FWWM,FWW
椋	SYIY
椁	SYBG,SYB
椪	SUOG
棣	SVIY,SVI
椐	SNDG,SND
鹁	FPBG
覃	SJJ
酤	SGDG
酢	SGTF
酡	SGPX,SGP
鹂	GMYG
厥	DUBW
殚	GQUF,GQU
殛	GQBG,GQB
雯	FYU
雱	FYB
辊	LJXX,LJX,LJ
辋	LMUN,LMU,LM
椠	LRSU,LRS
辍	LCCC
辎	LVLG,LVL
斐	DJDY
睄	HIEG
睑	HWGI
睇	HUXT
睃	HCWT,HCW
戢	KBNT
喋	KANS
嗒	KAWK
喃	KFMF,KFM
喱	KDJF
喹	KDFF,KDF
晷	JTHK
喈	KXXR
跖	KHDG
跗	KHWF
跞	KHQI
跚	KHMG
跎	KHPX
跏	KHLK
跆	KHCK
蛱	JGUW,JGU
蛲	JATQ,JAT
蛭	JGCF,JGC
蛳	JJGH,JJG
蛐	JMAG,JMA
蛔	JLKG,JLK
蛞	JTDG
蛴	JYJH,JYJ
蛟	JUQY,JUQ
蛘	JUDH,JUD
喁	KJMY,KJM
喟	KLEG,KLE
啾	KTOY,KTO
嗖	KVHC,KVH
喑	KUJG,KUJ
嗟	KUDA
喽	KOVG,KOV
嗞	KUXX
喀	KPTK,KPT
喔	KNGF
喙	KXEY,KXE
嵘	MAPS
嵖	MSJG
崴	MDGT
遄	MDMP,MDM
詈	LYF
嵎	MJMY
崽	MLNU,MLN
嵬	MRQC,MRQ
嵛	MWGJ,MWG
嵯	MUDA,MUD
嵝	MOVG,MOV
嵫	MUXX,MUX
幄	MHNF
嵋	MNHG,MNH
赕	MOOY,MOO,MO
铻	QGKG
铼	QGOY
铿	QJCF,QJC
锃	QKGG,QKG
锂	QJFG,QJF
锆	QTFK
锇	QTRT
锉	QWWF,QWW
锏	QUJG
锑	QUXT,QUX
锒	QYVE
锔	QNNK,QNN
锕	QBSK,QBS
掣	RMHR
矬	TDWF,TDW
氰	RNGE
毳	TFNN
毽	TFNP
犊	TRFD
犄	TRDK,TRD
犋	TRHW
鹄	TFKG,TFK
犍	TRVP,TRV
嵇	TDNM
黍	TWIU,TWI
稃	TEBG
稂	TYVE,TYV
筚	TXXF
筵	TTHP
筌	TWGF
傣	WDWI,WDW
傈	WSSY,WSS
舄	VQOU,VQO
牍	THGD
傥	WIPQ
傧	WPRW,WPR
遑	RGPD,RGP
傩	WCWY
遁	RFHP
徨	TRGG,TRG
媭	EDMV
畲	WFIL
弑	QSAA,QSA
颌	WGKM,WGK
翕	WGKN
釉	TOMG,TOM
鹆	WWKG
舜	EPQH
貂	EEVK,EEV
腈	EGEG
腌	EDJN,ED
腓	EDJD
腆	EMAW,EMA
腴	EVWY,EVW
腑	EYWF,EYW
腚	EPGH,EPG
腱	EVFP
鱿	QGDN,QGD
鲀	QGGN
鲂	QGYN
颍	XIDM,XID
猢	QTDE
猹	QTSG,QTS
猥	QTLE,QTL
飓	MQHW,MQH
觞	QETR
觚	QERY,QER
猱	QTCS
颎	XODM
飧	QWYE
馇	QNSG,QNS
馊	QNVC
亵	YRVE,YRV
脔	YOMW
裒	YVEU
痣	UFNI
痨	UAPL
痦	UGKD
痞	UGIK,UGI
痤	UWWF,UWW
痫	UUSI,UUS
痧	UIIT,UII
赓	YVWM
竦	UGKI,UGK
瓿	UKGN,UKG
啻	UPMK
颏	YNTM
鹇	USQG,USQ
阑	UGLI
阒	UHDI,UHD
阕	UWGD,UWG
粞	OSG
遒	USGP,USG
孳	UXXB
焯	OHJH,OHJ
焜	OJXX
焙	OUKG,OUK
焱	OOOU
鹈	UXHG
湛	IADN,IAD
渫	IANS,IAN
湮	ISFG
湎	IDMD,IDM
湜	IJGH
渭	ILEG,ILE
湍	IMDJ,IMD
湫	ITOY
溲	IVHC,IVH
湟	IRGG
溆	IWTC
湲	IEFC
湔	IUEJ,IUE
湉	INTD
渥	INGF,ING
湄	INHG,INH
滁	IBWT,IBW
愠	NJLG
惺	NJTG,NJT
愦	NKHM
惴	NMDJ
愀	NTOY,NTO
愎	NTJT
愔	NUJG
喾	IPTK,IPT
寐	PNHI
谟	YAJD,YAJ
扉	YNDD
裢	PULP,PUL
裎	PUKG,PUK
裥	PUUJ
祾	PYFT
祺	PYAW,PYA
谠	YIPQ,YIP
幂	PJDH,PJD
谡	YLWT,YLW
谥	YUWL,YUW
谧	YNTL,YNT
遐	NHFP,NHF
孱	NBBB,NBB
弼	XDJX,XDJ
巽	NNAW,NNA
骘	BHIC
媪	VJLG,VJL
媛	VEFC
婷	VYPS,VYP
巯	CAYQ,CAY
翚	NPLJ
皴	CWTC
婺	CBTV
骛	CBTC
缂	XAFH
缃	XSHG,XSH
缄	XDGT,XDG
彘	XGXX,XGX
缇	XJGH,XJG
缈	XHIT,XHI
缌	XLNY
缑	XWND,XWN
缒	XWNP
缗	XNAJ,XNA
飨	XTWE,XTW
耢	DIAL
瑚	GDEG,GDE
瑁	GJHG
瑜	GWGJ,GWG
